X,Y,ObjectID,Loc_name,Status,Score,Match_type,Match_addr,Addr_type,Type,PlaceName,Place_addr,Phone,URL,Rank,AddBldg,AddNum,AddNumFrom,AddNumTo,Side,StPreDir,StPreType,StName,StType,StDir,StAddr,Nbrhd,City,Subregion,Region,Postal,PostalExt,Country,LangCode,Distance,X,Y,DisplayX,DisplayY,Xmin,Xmax,Ymin,Ymax,ARC_Addres,ARC_Neighb,ARC_City,ARC_Subreg,ARC_Region,ARC_Postal,ARC_Post_1,ARC_Countr,PCT,AREA,LOCATION,ADDRESS,city_1,state
-85.621449125999675,38.137388126000474,32,USA.StreetAddress,M,100.00000000000,A,"7400 Outer Loop, Louisville, Kentucky, 40228",StreetAddress,,,,,,,,7400,7310,7400,R,,,Outer,Loop,,,,Louisville,,Kentucky,40228,,USA,ENG,0.00000000000,-85.62145000000,38.13738800000,-85.62145000000,38.13738800000,-85.62345000000,-85.61945000000,38.13538800000,38.13938800000,7400 Outer Loop,,Louisville,,Kentucky,,,,B149,4.00000000000,Summit Heights United Meth Ch,7400 Outer Loop,Louisville,Kentucky
-85.571203808999655,38.18200779300048,33,USA.StreetAddress,M,100.00000000000,A,"4320 Billtown Rd, Louisville, Kentucky, 40299",StreetAddress,,,,,,,,4320,4390,4300,L,,,Billtown,Rd,,,,Louisville,,Kentucky,40299,,USA,ENG,0.00000000000,-85.57120500000,38.18200800000,-85.57120500000,38.18200800000,-85.57220500000,-85.57020500000,38.18100800000,38.18300800000,4320 Billtown Road,,Louisville,,Kentucky,,,,B151,8.00000000000,Carrithers Mid Sch Cafeteria,4320 Billtown Road,Louisville,Kentucky
-85.558538509999664,38.189762051000457,34,USA.StreetAddress,M,100.00000000000,A,"10617 Taylorsville Rd, Louisville, Kentucky, 40299",StreetAddress,,,,,,,,10617,10619,10617,R,,,Taylorsville,Rd,,,,Louisville,,Kentucky,40299,,USA,ENG,0.00000000000,-85.55854000000,38.18976200000,-85.55854000000,38.18976200000,-85.55954000000,-85.55754000000,38.18876200000,38.19076200000,10617 Taylorsville Road,,Louisville,,Kentucky,,,,B153,8.00000000000,Jeffersontown Comm Ctr,10617 Taylorsville Road,Louisville,Kentucky
-85.544279816999676,38.144923573000483,35,USA.StreetAddress,M,100.00000000000,A,"6900 Billtown Rd, Louisville, Kentucky, 40299",StreetAddress,,,,,,,,6900,7020,6900,L,,,Billtown,Rd,,,,Louisville,,Kentucky,40299,,USA,ENG,0.00000000000,-85.54428100000,38.14492400000,-85.54428100000,38.14492400000,-85.54528100000,-85.54328100000,38.14392400000,38.14592400000,6900 Billtown Road,,Louisville,,Kentucky,,,,B154,4.00000000000,Evangel World Conf Ctr,6900 Billtown Road,Louisville,Kentucky
-85.587109574999658,38.149581454000497,36,USA.StreetAddress,M,100.00000000000,A,"6704 Bardstown Rd, Louisville, Kentucky, 40291",StreetAddress,,,,,,,,6704,6706,6700,L,,,Bardstown,Rd,,,,Louisville,,Kentucky,40291,,USA,ENG,0.00000000000,-85.58711100000,38.14958100000,-85.58711100000,38.14958100000,-85.58811100000,-85.58611100000,38.14858100000,38.15058100000,6704 Bardstown Road,,Louisville,,Kentucky,,,,B155,4.00000000000,Beulah Presby Ch Gym,6704 Bardstown Road,Louisville,Kentucky
-85.618046467999648,38.140080515000477,37,USA.StreetAddress,M,100.00000000000,A,"7711 Fegenbush Ln, Louisville, Kentucky, 40228",StreetAddress,,,,,,,,7711,7715,7611,R,,,Fegenbush,Ln,,,,Louisville,,Kentucky,40228,,USA,ENG,0.00000000000,-85.61804700000,38.14008100000,-85.61804700000,38.14008100000,-85.61904700000,-85.61704700000,38.13908100000,38.14108100000,7711 Fegenbush Lane,,Louisville,,Kentucky,,,,B156,4.00000000000,Highview Bapt Ch--Fegenbush Campus,7711 Fegenbush Lane,Louisville,Kentucky
-85.590616115999637,38.156778115000463,38,USA.StreetAddress,M,100.00000000000,A,"6200 Bardstown Rd, Louisville, Kentucky, 40291",StreetAddress,,,,,,,,6200,6288,6200,L,,,Bardstown,Rd,,,,Louisville,,Kentucky,40291,,USA,ENG,0.00000000000,-85.59061700000,38.15677800000,-85.59061700000,38.15677800000,-85.59161700000,-85.58961700000,38.15577800000,38.15777800000,6200 Bardstown Road,,Louisville,,Kentucky,,,,B157,4.00000000000,Fern Creek Fire Dept #1,6200 Bardstown Road,Louisville,Kentucky
-85.580869345999645,38.136739513000464,39,USA.StreetAddress,M,100.00000000000,A,"7601 Bardstown Rd, Louisville, Kentucky, 40291",StreetAddress,,,,,,,,7601,7719,7507,R,,,Bardstown,Rd,,,,Louisville,,Kentucky,40291,,USA,ENG,0.00000000000,-85.58087000000,38.13674000000,-85.58087000000,38.13674000000,-85.58187000000,-85.57987000000,38.13574000000,38.13774000000,7601 Bardstown Road,,Louisville,,Kentucky,,,,B158,4.00000000000,Bates Elem Sch Gym,7601 Bardstown Road,Louisville,Kentucky
-85.544279816999676,38.144923573000483,40,USA.StreetAddress,M,100.00000000000,A,"6900 Billtown Rd, Louisville, Kentucky, 40299",StreetAddress,,,,,,,,6900,7020,6900,L,,,Billtown,Rd,,,,Louisville,,Kentucky,40299,,USA,ENG,0.00000000000,-85.54428100000,38.14492400000,-85.54428100000,38.14492400000,-85.54528100000,-85.54328100000,38.14392400000,38.14592400000,6900 Billtown Road,,Louisville,,Kentucky,,,,B159,4.00000000000,Evangel World Conf Ctr,6900 Billtown Road,Louisville,Kentucky
-85.618046467999648,38.140080515000477,41,USA.StreetAddress,M,100.00000000000,A,"7711 Fegenbush Ln, Louisville, Kentucky, 40228",StreetAddress,,,,,,,,7711,7715,7611,R,,,Fegenbush,Ln,,,,Louisville,,Kentucky,40228,,USA,ENG,0.00000000000,-85.61804700000,38.14008100000,-85.61804700000,38.14008100000,-85.61904700000,-85.61704700000,38.13908100000,38.14108100000,7711 Fegenbush Lane,,Louisville,,Kentucky,,,,B160,4.00000000000,Highview Bapt Ch--Fegenbush Campus,7711 Fegenbush Lane,Louisville,Kentucky
